PassengerId,Survived,Age_categories_Missing,Age_categories_Infant,Age_categories_Child,Age_categories_Teenager,Age_categories_Young Adult,Age_categories_Adult,Age_categories_Senior,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,SibSp_scaled,Parch_scaled,Fare_scaled,Fare_categories_0-12,Fare_categories_12-50,Fare_categories_50-100,Fare_categories_100+,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Cabin_type_A,Cabin_type_B,Cabin_type_C,Cabin_type_D,Cabin_type_E,Cabin_type_F,Cabin_type_G,Cabin_type_T,Cabin_type_Unknown
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.125,0.0,0.014151057562208049,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.125,0.0,0.13913573538264068,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015468569817999833,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.125,0.0,0.10364429745562033,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,0.01650950209357577,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0.0,0.10122885832000206,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.375,0.16666666666666666,0.04113566043083236,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.3333333333333333,0.021730754366528396,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0.125,0.0,0.058694292654020104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.125,0.16666666666666666,0.03259622914329302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,0.0,0.051822148727810165,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.125,0.8333333333333333,0.06104473451835265,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015330377421392339,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0.0,0.03122992013728673,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5,0.16666666666666666,0.05684821399990475,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
